company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
Gladly,Senior Data Engineer,"San Francisco, CA","Gladly is a Radically Personal Customer Service Platform that puts people at the center of a single, lifelong conversation. We enable companies to talk to their customers they way people talk to their friends: seamlessly across voice, email, SMS, chat, and social media.
Gladly's data products are a foundation for enabling contact center leaders to understand their team's performance and identify opportunities for their company. Because of Gladly's unique approach to customer service, the data we provide is a key differentiator, not an afterthought. Our data warehouse also gives Gladly's customer success team the insights to help customers optimize their use of the product. We create a range of metrics and datasets based on carefully designed events and data models. We are looking for a data engineer to join our small, fast-growing and high impact team.
What you'll do
Own and drive projects, as well as communicate with stakeholders on requirements, progress and delivery.
Teach. Provide technical guidance and mentorship in software engineering best practices while demonstrating these as an individual contributor.
Collaborate. Work closely with small, nimble, cross-functional teams of engineers, product managers, designers, and business teams.
Contribute. Build a best-in-class data pipeline with a few key attributes:
repeatable via infrastructure-as-code
testable, with verification of correctness
reliable and always-on
low latency (on the order of minutes)
observable.
Work with experienced colleagues who will be eager to share their knowledge, provide mentorship and help you grow your career.
Have opportunities to learn and work with technologies used at Gladly like Snowflake, dbt, Debezium, Looker, PostgreSQL, Kafka, Docker, Kubernetes, AWS, Redis, Node.js, Go, Python.
You'll be successful by
Being eager to learn Gladly's business domain and apply this knowledge in building the innovative product.
Self-organizing and prioritizing your work based on the impact to the customer.
Understanding how to balance pragmatic solutions with best practices of data engineering.
Having passion for making the most of our existing technologies and introducing the right tools for problem at hand.
Showing ownership and pride in your work by promoting data best practices and making them easy for engineering teams to adopt as well as providing ongoing maintenance and support.
We're excited about you because you have
5+ years of engineering experience including 2+ years of working with ETL pipelines, data transformation and modeling.
Strong teamwork skills. You love participating with high-performing teams of engineers.
Customer-centricity and product focus. You look at everything you create through the lens of how it improves things for the end-customer. You are comfortable communicating how various technical approaches might impact product behavior (and vice versa).
Learning mentality because nobody checks every box. You aren't intimidated by new domains or technology; you're willing to dive into documentation/videos, talk to your teammates, and experiment to become well-versed.
Willingness to work across the development stack. You're comfortable with working on data pipelines, transformations and implementing insights. You're willing to jump into Gladly backend applications on occasion.
Operational expertise. You value robust observable solutions with actionable monitoring and the importance of tooling for troubleshooting and resolving issues.
Research has shown that individuals from marginalized groups are less likely to apply to jobs where they don't meet 100% of the criteria. Gladly values diversity of experience, so if you believe you have the right skill set, we welcome you to apply - even if you don't check every box in the job description. We're committed to an inclusive workplace and would love to see if you could be the next great addition to our team.
Compensation
$156,000-$215,000 annually.
For cash compensation, we set standard ranges for all U.S.-based roles based on function, level, and geographic location, benchmarked against similar stage growth companies. In order to be compliant with local legislation, as well as to provide greater transparency to candidates, we share salary ranges on all job postings regardless of desired hiring location. Final offer amounts are determined by multiple factors, including geographic location as well as candidate experience and expertise, and may vary from the amounts listed above.
Working at Gladly
People are not just at the heart of our product, they're at the heart of our company.
We value diverse perspectives and hire new people to enrich our mix, not keep it the same.
We believe in open communication and share in an inclusive, open culture.
We have embraced remote work and make it easy for our team to work from anywhere, but we also invest in opportunities to get the teams together in person regularly.
We learn from each other, and we help each other learn.
We provide opportunities to move between teams to learn and contribute to other cool technologies used at Gladly.
We have a strong work ethic, but value life outside of work, too.
Our focus is on people and that starts with our employees. As an employee you can count on:
Competitive salaries, stock options
Medical, Dental, Vision and Life insurance
Generous paid time off
Generous paid Parental Leave
401K
Flexible Spending Accounts
Wellness and home office stipends
Founded in 2014 by a team of repeat entrepreneurs with multiple successful exits, Gladly is reinventing customer service. By focusing on customers instead of tickets, we are disrupting a $70B market and are proud to count Crate and Barrel, Warby Parker and many other innovative brands as customers. Gladly has raised over $110M from Greylock Partners, NEA, GGV Capital, Glynn Capital and JetBlue Tech Ventures.
Gladly has made the decision to become a fully distributed company, allowing employees to live anywhere in the United States, and candidates to come from nearly any geographical region. That said, we also highly value our collaborative and creative culture and commit to meeting in real life as a company at least once per quarter when it is safe to do so.
Show Less
Report",$2L - $2L,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2014,Unknown / Non-Applicable
ASA,Data Integration Engineer(Banking),"New York, NY","Experience designing and developing Enterprise Data Warehouse solutions.
Demonstrated proficiency with Data Analytics, Data Insights
Proficient writing SQL queries and programming including stored procedures and reverse engineering existing process
Leverage SQL, programming language (Python or similar) and/or ETL Tools (Azure Data Factory, Data Bricks, Talend and SnowSQL) to develop data pipeline solutions to ingest and exploit new and existing data sources.
Perform code reviews to ensure fit to requirements, optimal execution patterns and adherence to established standards.
SKILLS
10+ years - Enterprise Data Management
10+ years - SQL Server based development of large datasets
5+ years with Data Architecture
3+ years experience in Finance / Banking industry some understanding of Securities and
Banking products and their data footprints.
2+ years Python coding experience
Proficient with Data Visualization tools
Hands-on experience with Snowflake utilities such as SnowSQL and SnowPipe
Working knowledge of MS Azure configuration items with respect to Snowflake.
Hands-on experience with Tasks, Streams, Time travel, Optimizer, Metadata Manager, data sharing
Experience in Data warehousing - OLTP, OLAP, Dimensions, Facts, and Data modeling.
Previous experience leading an enterprise-wide Cloud Data Platform migration with strong architectural and design skills
Capable of discussing enterprise level services independent of technology stack
Experience with Cloud based data architectures, messaging, analytics
Superior communication skills
Cloud certification(s)
Note
Any experience with Regulatory Reporting is a Plus
Job Type: Contract
Salary: $100.00 - $103.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
New York, NY 10020: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL Server: 10 years (Preferred)
python: 2 years (Preferred)
Data management: 10 years (Preferred)
Work Location: One location
Show Less
Report",$100.00 - $103.00 Per hour,501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,1999,$25 to $50 million (USD)
Gridiron IT,Data Engineer,"Washington, DC","Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.
Design and develop robust and functional dataflows to support raw data and expected data.
Provide Tier 3 technical support for deployed applications and dataflows.
Collaborate with the rest of data engineering team to design and launch new features. Includes coordination and documentation of dataflows, capabilities, etc.
Skills
Amazon Web Services (AWS)
Database Administration
Data Engineering
ETL Architecture and Development
End-to-End Processes
API Development
Extract, Transform, and Load (ETL)
Data Pipeline
Tier 3 Technical Support
Preferred
Database administration and development experience will be a plus for consideration.
Experience with cloud message APIs and usage of push notifications.
Keen interest in learning and using the latest software tools, methods, and technologies to solve real world problem sets vital to national security.
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Benefits:
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Referral program
Retirement plan
Vision insurance
Experience level:
4 years
Schedule:
8 hour shift
Monday to Friday
Overtime
Ability to commute/relocate:
Washington, DC: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 3 years (Preferred)
AWS: 2 years (Preferred)
ETL: 3 years (Preferred)
Security clearance:
Top Secret (Required)
Work Location: In person
Show Less
Report",$65.00 - $75.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
Zillion Technologies,Sr. Data Engineer (ETL development),"Richmond, VA","Job Title: Sr. Data Engineer - Hybrid
Location: Richmond Virginia 23060
JOB DESCRIPTION
Position Description
The Senior Data Engineer is a senior technical role in supporting the information management architecture of the Enterprise Data Warehouse solution. The role will be actively responsible for designing the data acquisition, data staging, loading, and transformation into the Enterprise Data Warehouse. This role will be a technical expert and resource collaborating with the Data Architect, Software Engineers, Product Owners, and Project Team to develop and deliver data storage and movement solutions and to organize and oversee the loading of data into the related systems. Additionally, the Senior Data Engineer will bridge gaps related to Business Intelligence functions, supporting the analytics produced by the organization, and providing expertise tying data movement together with data consumption.
Position Accountabilities:
Design and develop complex ETL solutions using data warehouse design best practices
Analyze data requirements, data models, and determine the best methods in extracting, transforming and loading the data into the data staging, warehouse and other system integration projects
Create complex business intelligence reports and data visualizations using tools like Python, Tableau, and PowerBI
Analyze business requirements and outline solutions
Validate code against business and architectural requirements
Create and test prototypes
Troubleshoot applications and resolve defects
Work within an agile framework
Plan, Prioritize and Deliver Resilient, Scalable technical solutions
Communicate ideas in both technical and user friendly language
Update and maintain product documentation
Escalate issues and impediments in a timely manner
Work within established framework and processes (Agile)
Collaboratively work with Agile teams, as well as independently
Perform and coordinate unit and system integration testing when required
Participate in peer programming, mobbing, hackathons, and code reviews as required
Support and occasionally lead business intelligence efforts, data analytics efforts, and data governance/quality efforts.
Position Qualifications:
Education & Experience:
A Bachelor’s Degree or a combination of equivalent work experience
7+ years of previous experience in information technology, preferably within the financial services or other highly-regulated industry
5+ years ETL development experience
3+ years of Business Intelligence, Data Analytics, or Data Science experience
3+ years of experience in an Agile environment
Knowledge of ETL and data warehouse design
Experience using Python for data movement/manipulation
Extensive experience with data dictionaries, data analysis and relational databases
Experience with a business intelligence toolset
Preferred Qualifications:
A Master’s Degree in a technology area of study; preferably in Computer Science, MIS or Analytics.
Knowledge & Skills:
Creative problem solver with excellent communication, leadership and collaboration skills.
Advanced decision making and problem solving skills
Business acumen, knowledge and professionalism
Proactive leadership style and a self-starter and strong attention to detail
A clear and familiar understanding of the concepts and best practices of data warehouse ETL design
Demonstrable expertise with RDBMS or Big Data technology
Foundational Database administration skills; Broad DW skills including Semantic Layer, Basic BI Development and basic data modeling & data analysis
Methodical and structured approach to design and development.
Delivery focused with the ability to prioritize activities.
Flexible team player within a small, multi-disciplinary team.
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Richmond, VA: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Work Authorization?
Experience:
ETL development: 5 years (Preferred)
Business Intelligence, Data Analytics, or Data Science: 3 years (Preferred)
Agile environment: 3 years (Preferred)
Work Location: One location
Show Less
Report",$70.00 - $80.00 Per hour,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,$5 to $25 million (USD)
Plaxonic,Azure Data Engineer,"Louisville, KY","Experience in developing applications on Microsoft Azure Platform using Features like Cloud Services, Web Role, Worker Role, Azure Web App, Azure API App, Azure Storage, Azure SQL, Azure Functions etc - Experience with Micro-services architecture - Experience in deploying Micro-services in Azure Service fabric and AKS - Hands-on experience in Databases like MS SQL and No SQL Databases - Responsible for developing application and services for and using Azure Cloud Services - Responsible for taking Technology decisions for the project - Understand business requirements and technical limitations - Participating in the complete development life cycle - Coded Unit testing achieving respective unit test coverageTalent
Job Type: Contract
Salary: $55.00 - $60.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Experience:
Azure: 8 years (Required)
Azure Logic Apps: 5 years (Required)
Work Location: On the road
Show Less
Report",$55.00 - $60.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2013,$1 to $5 million (USD)
Gopuff,Principal Data Engineer,"Independence, KS","Gopuff is seeking a Principal Data Engineer to join its Data Engineering team. This individual will play a major role in shaping the team’s technical direction, designing and implementing the data architecture to enable analytics, data science, and machine learning at scale. The ideal candidate will also serve as a mentor to other data engineers, investing in the team’s development together. This position is a hands-on engineering role, with the core focus being on developing and deploying production-grade code.

#LI-Remote
Responsibilities
Takes a hands-on role at piloting and developing tools in addition to enhancing existing platforms that power Gopuff’s data teams
Architect and implement large-scale data processing systems that enable analytics, data science, and machine learning in a multi-cloud environment
Develop best practices for data collection, storage, and processing that impact company-wide data strategy across Gopuff’s data lakes and data warehouses
Partner with software and analytics engineering teams to establish data contracts to improve data quality at every stage of the data lifecycle
Participate in design and architectural review sessions with data engineers and software engineering partners
Conduct code reviews and knowledge-sharing sessions across data engineering and partner teams
Collaborate with engineering and product leadership to translate business requirements into technical solutions
Partner with engineering teams to model foundational event schemas
Qualifications
8+ years of experience in a data engineering role building end-to-end ETL/ELT pipelines
Experience building batch data pipelines using DAG-based tools such as Dagster or Airflow
Experience developing real-time data pipelines using frameworks such as Apache Beam, Flink, Storm, Spark Streaming, etc.
Experience with data warehouses, data lakes, and their underlying infrastructure
Proficiency in Python, SQL, RESTful API development
Experience with cloud computing platforms such as Azure, AWS
Experience data observability and monitoring tooling such as Monte Carlo, Great Expectations, SodaSQL, Databand, etc.
Experience in producing and consuming topics to/from Apache Kafka, AWS Kinesis, or Azure Event Hubs
Experience with data governance, schema design, and schema evolution
Experience implementing DevOps best practices within the data platform, including solutions for CI/CD, data observability, monitoring, and lineage
Experience with Infrastructure as code tools such as Terraform
Compensation:
Gopuff pays employees based on market pricing and pay may vary depending on your location. The salary range below reflects what we’d reasonably expect to pay candidates. A candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future. For additional information on this role’s compensation package, please reach out to the designated recruiter for this role.
Remote - Salary Range (varies based on a cost of labor index for geographic area within United States): USD $152,000 - USD $241,500
Benefits
We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits, supplemental employee, spouse and child life insurance to all eligible employees.*

We also offer*:
Gopuff employee discount
Career growth opportunities
Internal rewards programs
Annual performance appraisal and bonus
Equity program
Not applicable for contractors or temporary employees.

At Gopuff, we know that life can be unpredictable. Sometimes you forget the milk at the store, run out of pet food for Fido, or just really need ice cream at 11 pm. We get it—stuff happens. But that’s where we come in, delivering all your wants and needs in just minutes.

And now, we’re assembling a team of motivated people to help us drive forward that vision to bring a new age of convenience and predictability to an unpredictable world.

Like what you’re hearing? Then join us on Team Blue.

Gopuff is an equal employment opportunity employer, committed to an inclusive workplace where we do not discriminate on the basis of race, sex, gender, national origin, religion, sexual orientation, gender identity, marital or familial status, age, ancestry, disability, genetic information, or any other characteristic protected by applicable laws. We believe in diversity and encourage any qualified individual to apply.
Show Less
Report",$1L - $2L,5001 to 10000 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2013,Unknown / Non-Applicable
Jacobs Levy Equity Management,Quantitative Data Engineer,"Florham Park, NJ","This position is part of our Data Technology team and will help implement, enhance, and manage our quantitative models. Primary responsibilities include researching, designing, coding, testing, and deploying projects while working in a fast-paced environment and improving proprietary data repository and financial data platforms. The Quantitative Data Engineer will work closely with quantitative research and portfolio management professionals to implement new ideas. The successful candidate must possess strong knowledge of financial equity data (e.g., Compustat, Bloomberg, Thomson Reuters), have solid coding skills (in SQL, Python, Julia, and C++), and experience working with large datasets. MS/PhD degree in Computer Science or related field required.


We are seeking a Quantitative Data Engineer to design and implement our proprietary quantitative investment systems. You will be a key player in the Technology team and will research, design, code, test and deploy projects while working in a fast-paced environment.

Responsibilities include:
Implement, enhance, and manage quantitative models
Design and improve proprietary data repository and financial data platforms
Automate and support the Extract, Transform, and Load (ETL) processes from various market data vendors
Develop and manage reporting and performance analytics platforms



Requirements include:
MS/PhD in Computer Science, Engineering, Statistics, or related discipline with excellent academic credentials
Strong knowledge of financial equity data, a plus with experience in Bloomberg, Thomson Reuters, Compustat, and CapIQ data
Broad knowledge of database concepts with proficiency in SQL and stored procedures, preferably with Microsoft SQL Server
2+ years of solid coding experience in Python, Julia, C++, C#
Experience in processing large and complex datasets
An advanced knowledge of math and statistics

For immediate and confidential consideration, please email your cover letter and resume to careers@jlem.com. Please indicate the position for which you are applying.
Equal Opportunity Employer
Show Less
Report",$88T - $1L,1 to 50 Employees,Company - Private,Finance,Investment & Asset Management,#N/A,$5 to $25 million (USD)
Visvak Solutions,Azure Data Engineer,Remote,"JD:
Overall 7+ years of experience
has good understanding on Azure storage Gen2
hands on experience with Azure stack (minimum 5 years)
o Azure Databricks
o Azure Data Factory
o Azure DevOps
proficient coding experience using Spark(Scala/Python), T-SQL
Understanding around the services related to Azure Analytics, Azure SQL, Azure function app, logic app
prior ETL development experience using industry tool e.g. informatica/SSIS/Talend etc.
proficient in a source code control system
good to have knowledge in Kafka streaming Azure Infrastructure
Job Type: Full-time
Salary: $39.86 per hour
Benefits:
Health insurance
Schedule:
8 hour shift
Work Location: Remote
Show Less
Report",$39.86 Per hour,51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,Less than $1 million (USD)
Stratford Solutions Inc.,Senior Data Engineer,Remote,"Job title: Senior Data Engineer

Job Location: REMOTE (EST ZONE) M-F 9-5 (35/hrs a week)

Job type: 8 Month Contract

Pay Rate: $100-$125/hr

SCOPE OF SERVICES

Seeking a Data Engineer role to ensure the efficient and successful implementation and support of complex data engineering solutions for City agencies. This resource should demonstrate a solid understanding of industry-standard implementation methodologies using data engineering technologies, tools, and processes.

TASKS:
? Create and maintain optimal data pipeline architecture that is coherent and scalable, based on best practices of integrating data into a consolidated repository.

? Perform the technical design, development, and component testing of repository changes.

? Build analytics tools that utilize the data pipeline to provide actionable insights into customer engagement and experience, operational efficiency, and other key business performance metrics.

? Build the infrastructure required for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources using SQL, cloud, and big data technologies.

? Develop ETLs to move data securely from source to target systems.

? Create, update, and maintain system documentation.

? Develop new or build against existing APIs for data access or landing data as output for further downstream consumption in the appropriate target data store.

? Perform special projects and initiatives as assigned.

MANDATORY SKILLS/EXPERIENCE Note: Candidates who do not have the mandatory skills will not be considered

8+ years of experience in writing SQL.
8+ years of experience in copying, transferring, manipulating, and automating data operations that were manual processes.
Experience with tools and components of data architecture such as Informatica Power Center, IICS, SSIS, or similar ETL tools.
Experience working with Amazon Web Services or Microsoft Azure cloud computing platform and services.
In-depth knowledge of SQL and other database solutions.
Experience with data warehousing (Snowflake, Redshift etc.).
Knowledge of modeling database schemas for large datasets.
Experience developing cloud-ready applications.
Experience working with programming languages like Python, Java, and Perl
DESIRABLE SKILLS/EXPERIENCE:
Hands on experience developing Microsoft PowerBI solutions.
5+ years hands-on experience in development with the suite of tools from Informatica PowerCenter and B2B Data Transformation.
Experience using Oracle 10g/11g, SQL Server and/or a database appliance.
Knowledge of metadata-driven enterprise reporting platforms.
Show Less
Report",$100.00 - $125.00 Per hour,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,$1 to $5 million (USD)
#N/A,Data Engineer - Remote,"Phoenix, AZ","At UnitedHealthcare, we’re simplifying the health care experience, creating healthier communities and removing barriers to quality care. The work you do here impacts the lives of millions of people for the better. Come build the health care system of tomorrow, making it more responsive, affordable and equitable. Ready to make a difference? Join us and start doing *your life's best work.(sm)*
**
You’ll enjoy the flexibility to work remotely from anywhere within the U.S. as you take on some tough challenges.*
Primary Responsibilities:*
*
Accountable for data engineering lifecycle including research, proof of concepts, design, development, test, deployment and maintenance
Design, develop, implement and run cross-domain, modular, optimized, flexible, scalable, secure, reliable and quality data solutions that transform data for meaningful analyses and analytics while ensuring operability
Design, develop, implement and run data solutions that improve data efficiency, reliability and quality, and are performant by design
Layer in instrumentation in the development process so that data pipelines can be monitored. Measurements are used to detect internal problems before they result into user visible outages or data quality issues
Build processes and diagnostics tools to troubleshoot, maintain and optimize solutions and respond to customer and production issues
Embrace continuous learning of engineering practices to ensure industry best practices and technology adoption, including DevOps, Cloud and Agile thinking
Tech debt reduction/ Tech transformation including Open-source adoption, Cloud adoption, HCP assessment and adoption
Contribution to our industry community and strive to reuse and share components wherever possible across the organization
Maintain high quality documentation of data definitions, transformations, and processes to ensure data governance and security
Identifies solutions to non-standard requests and problems
Solves moderately complex problems and/or conducts moderately complex analyses
You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.*
*Required Qualifications:*
*
Undergraduate degree or equivalent experience
3+ years of hands on experience writing code in developing Big Data solutions using Spark + Scala/Python
3+ years of experience in Data Engineering, Coding ETL and building data pipelines
1+ years of experience with CICD tools such as Jenkins, GitHub, Maven etc.
1+ years of experience writing data engineering code in Databricks
Preferred Qualifications:*
*
Cloud experience (Azure/AWS/GCP)
Snowflake experience
Proficient in building relationship with stakeholder and maintaining it during the course of the project/program
Proficient in working with cross functional teams
Careers with UnitedHealthcare. Work with a Fortune 5 organization that’s serving millions of people as we transform health care with bold ideas. Bring your energy for driving change for the better. Help us improve health access and outcomes for everyone, as we work to advance health equity, connecting people with the care they need to feel their best. As an industry leader, our commitment to improving lives is second to none.*
*All employees working remotely will be required to adhere to UnitedHealth Group’s Telecommuter Policy.
California, Colorado, Connecticut, Nevada, New York City, or Washington Residents Only: The salary range for California, Colorado, Connecticut, Nevada, New York City, or Washington residents is $67,800 to $133,100. Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, UnitedHealth Group offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). No matter where or when you begin a career with UnitedHealth Group, you’ll find a far-reaching choice of benefits and incentives.
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
UnitedHealth Group is a drug - free workplace. Candidates are required to pass a drug test before beginning employment.
Location: Phoenix,AZ 85002,USA, Phoenix, AZ 85002
Location: Phoenix,AZ 85002,USA, Phoenix, AZ 85002
Job Type: Full-time
Application Question(s):
Do you have a Bachelor’s Degree or equivalent underwriting work experience?
Do you have 3+ years of hands on experience writing code in developing Big Data solutions using Spark + Scala/Python?
Do you have 3+ years of experience in Data Engineering, Coding ETL and buidling data pipelines?
Do you have 1+ years of experience with CICD tools such as Jenkins, GitHub, Maven etc. ?
Do you have 1+ years of experience writing data engineering code in Databricks?
Apply Now: click Easy Apply
Show Less
Report",$73T - $1L,10000+ Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1977,$10+ billion (USD)
Synchrony Corp,Senior Data Engineer,Remote,"Job Title : Senior Data Engineer
Duration : Contract on W2
Location : Remote
This is a W2 opportunity.
IV Process: EQP & Technical IV with client
Tech (Qualification) Notes:
Skillset (top 3-5)
Must haves:
Python: Must be VERY strong here & able to write strong code. Doing OOP & designing pipeline
SQL: Writing advanced queries
Cloud: GCP or Azure
Knowledge of DevOps (CI/CD, Jenkins etc)
Database experience: Ideally Snowflake or Redshift
Scripting: Shell or Bash
Data Pipelines & Ingestions
Nice to haves:
Kafka is a HUGE nice to have. This will get use a quick win
Official JD:
Strong in SQL and Python, 2+ years with both (preferably)
Experience building automated data pipelines
Experience performing data analysis and data exploration
Experience working in an agile delivery environment
Strong critical thinking, communication, and problem solving skills
Prefered:
Previous healthcare experience and domain knowledge
Exposure/understanding DevOps best practice and CICD (i.e. Jenkins)
Exposure/understanding of containerization (i.e. Kubernetes, Docker)
Job Type: Contract
Salary: From $70.00 per hour
Experience level:
10 years
Schedule:
8 hour shift
Monday to Friday
Experience:
Data Engineer: 10 years (Required)
SQL: 6 years (Required)
Python: 6 years (Required)
Work Location: Remote
Show Less
Report",$70.00 Per hour,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
FlexIT Inc,Data Science Engineer,"Beaverton, OR","We are looking for strong experience in Python, AWS, Machine Learning/Data Science, CI/CD integration and the ability work with cross functional team. The work will also involve building and incorporate automated unit & integration tests into the Data science platform
Show Less
Report",$83T - $1L,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
ConnectiveRx,Sr. Data Engineer,"Hanover, NJ","ConnectiveRx is a leading, technology-enabled healthcare services company. We work strategically with hundreds of biopharmaceutical manufacturers to help commercialize and maximize the benefits of specialty and branded medications. Our mission is to simplify how patients get on and stay on therapy. We fulfill our mission by providing our customers with innovative services such as patient and provider messaging, the design and operation of copay, vouchers and patient affordability programs, and hub services, all of which accelerate speed-to-therapy and help improve outcomes for manufacturers, healthcare providers and patients.

ConnectiveRx was formed in 2015 by bringing together the industry-leading business of PSKW, PDR/LDM, Careform (2017) and The Macaluso Group (2018) to advance our technology-driven expertise in providing state-of-the-art commercialization solutions. To learn more about our company, visit ConnectiveRx.com

Job Description

What you will do:
Looking for a seasoned Senior Data Engineer to help us continue to build out our new Enterprise Data Platform. This person must have a strong understanding and demonstrated experience with data streaming architectures that leverage microservice & message-oriented integration patterns and practices within AWS cloud native technologies. This person will help to scale our data ingestion pipelines which are at the core of our Enterprise Data Platform which supports our client reporting as well as our internal analytics & operational teams.

The successful candidate will:
Work with senior leadership, architects, engineers, data analysts, product managers and cloud infrastructure teams to deliver a new features and capabilities.
Write clean, robust, and well-thought-out code with an emphasis on quality, performance, scalability, and maintainability.
Demonstrate strong end to end ownership & craftsmanship - analysis, design, code, test, debug, and deploy
Your ability to traverse the full stack within AWS server-less technologies will be an asset to us as we evaluate the tradeoffs inherent in software engineering. You have the product driven development mindset and can work closely with BA’s and Product teams to breakdown requirements and translate business workflows into scalable technical solutions.

What we’d like from you:
Strong Python & strong SQL
Extensive relational DB experience (Redshift, SQL Server, PostgresSQL) with exposure to document DBs such as DynamoDB. ElasticSearch.
Experience with designing solutions that run in AWS cloud technologies (Lambda, ECS, DynamoDB etc), docker containers
Message oriented architectures, patterns and tools, CQRS, event streaming, Kafka, SQS
Change data capture concepts, Database Triggers, AWS DMS
Data lake concepts, data catalogs, meta data etc
CICD Pipelines
Event store processing, data validation, operational logging via AWS Cloud Watch
Why work with us?
Excellent company culture, fun events, and volunteer opportunities
Competitive benefits (medical, dental, vision & more)
401k package with dollar-for-dollar match-up
Generous PTO and paid holidays days offered
Opportunities to grow professionally and personally
Team-oriented atmosphere
#LI-BJ1

Equal Opportunity Employer: This employer (hereafter the Company) is an equal opportunity employer and does not discriminate in recruitment, hiring, training, promotion, or other employment policies on the basis of age, race, sex, color, religion, national origin, disability, veteran status, genetic information, or any other basis that is prohibited by federal, state, or local law. No question in this application is intended to secure information to be used for such discrimination. In addition, the Company makes reasonable accommodation to the needs of disabled applicants and employees, so long as this does not create an undue hardship on the Company or threaten the health or safety of others at work. This application will be given every consideration, but its receipt does not imply that the applicant will be employed.
Show Less
Report",$96T - $1L,1001 to 5000 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
