id,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
98,"Impact Advisors LLC
4.7",Data Engineer,United States,"Healthcare Data Engineer

Work You’ll Do:

As a Healthcare Data Engineer, you will work closely with a multidisciplinary Agile team to build high-quality data pipelines driving analytic solutions. Utilizing your deep understanding of data architecture, data engineering, data analysis, reporting, and basic understanding of data science, the solutions you create will generate insights from the organization’s connected data which will enable the advancement of data-driven decision-making capabilities within the enterprise. You will utilize your strong problem-solving skills, ability to work as part of a technical, cross-functional analytics team, and desire to solve complex data problems to deliver the insights which enable analytics strategies.

About Impact Advisors:

We deliver Best in KLAS advisory, implementation and optimization services to healthcare organizations. At Impact Advisors, we are committed to exceeding our clients’ expectations. We are a nationally recognized partner to many of the nation’s top healthcare organizations. Our commitment to patient-centered, value-driven outcomes has earned us some of the industry’s most prestigious awards. Please visit our website at www.impact-advisors.com for additional information.

Your Responsibilities:
Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals
Solve complex data problems to deliver insights that help business to achieve goals
Create data products for analytics and data scientist team members to improve their productivity
Advise, consult, mentor and coach other data & analytics professionals on data standards and practices
Foster a culture of sharing, re-use, design for scale stability, and operational efficiency of data and analytical solutions
Lead the evaluation, implementation and deployment of emerging tools and process for analytic data engineering
Develop and deliver communication and education plans on analytic data engineering capabilities, standards, and processes
Partner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives.
Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics

Your Expertise:
Bachelor’s degree preferred; Computer Science, MIS, or Engineering preferred
Certification in one or more of the following Epic Systems modules: Cogito, Caboodle, Clarity, Reporting Workbench
5 years of experience working in data engineering or architecture role, 7+ preferred (3 years preferred for Jr. role)
Expertise in SQL and data analysis and experience with at least one programming language (Python preferred)
Significant experience developing and maintaining data warehouses in big data solutions (e.g., Snowflake, SAP Hana, Oracle, SQL Server, Teradata, etc.)
Experience with developing solutions on cloud computing services and infrastructure in the data and analytics space (preferred)
Database development experience using Hadoop or BigQuery and experience with a variety of relational, NoSQL, and cloud database technologies
Worked with BI tools such as Tableau, Power BI, Looker
Deep knowledge of data and analytics, such as dimensional modeling, ETL, reporting tools, data governance, data warehousing, structured and unstructured data.
Big Data Development experience using Hive, Impala, Spark and familiarity with Kafka
Exposure to machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics
Experience in using data base connections, SSIS, API, ODBC, etc.
Healthcare experience preferred but not required.

Our People and Culture:

We believe in a caring, fun, honest and autonomous work environment and we recognize that our dedication to our associates drives our success. Our mission to create a Positive Impact fuels our associates to innovate and deliver high value services to our clients.

In healthcare, many of the greatest ideas and discoveries come from a diverse mix of minds, backgrounds and experiences, and we are committed to cultivating an inclusive work environment. Impact Advisors provides equal opportunities to all employees and applicants for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, genetic disposition, neurodiversity, disability, veteran status, or any other protected category under federal, state and local law
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2007,$25 to $50 million (USD)
99,"ConnectiveRx
3.0",Sr. Data Engineer,"Hanover, NJ","ConnectiveRx is a leading, technology-enabled healthcare services company. We work strategically with hundreds of biopharmaceutical manufacturers to help commercialize and maximize the benefits of specialty and branded medications. Our mission is to simplify how patients get on and stay on therapy. We fulfill our mission by providing our customers with innovative services such as patient and provider messaging, the design and operation of copay, vouchers and patient affordability programs, and hub services, all of which accelerate speed-to-therapy and help improve outcomes for manufacturers, healthcare providers and patients.

ConnectiveRx was formed in 2015 by bringing together the industry-leading business of PSKW, PDR/LDM, Careform (2017) and The Macaluso Group (2018) to advance our technology-driven expertise in providing state-of-the-art commercialization solutions. To learn more about our company, visit ConnectiveRx.com

Job Description

What you will do:
Looking for a seasoned Senior Data Engineer to help us continue to build out our new Enterprise Data Platform. This person must have a strong understanding and demonstrated experience with data streaming architectures that leverage microservice & message-oriented integration patterns and practices within AWS cloud native technologies. This person will help to scale our data ingestion pipelines which are at the core of our Enterprise Data Platform which supports our client reporting as well as our internal analytics & operational teams.

The successful candidate will:
Work with senior leadership, architects, engineers, data analysts, product managers and cloud infrastructure teams to deliver a new features and capabilities.
Write clean, robust, and well-thought-out code with an emphasis on quality, performance, scalability, and maintainability.
Demonstrate strong end to end ownership & craftsmanship - analysis, design, code, test, debug, and deploy
Your ability to traverse the full stack within AWS server-less technologies will be an asset to us as we evaluate the tradeoffs inherent in software engineering. You have the product driven development mindset and can work closely with BA’s and Product teams to breakdown requirements and translate business workflows into scalable technical solutions.

What we’d like from you:
Strong Python & strong SQL
Extensive relational DB experience (Redshift, SQL Server, PostgresSQL) with exposure to document DBs such as DynamoDB. ElasticSearch.
Experience with designing solutions that run in AWS cloud technologies (Lambda, ECS, DynamoDB etc), docker containers
Message oriented architectures, patterns and tools, CQRS, event streaming, Kafka, SQS
Change data capture concepts, Database Triggers, AWS DMS
Data lake concepts, data catalogs, meta data etc
CICD Pipelines
Event store processing, data validation, operational logging via AWS Cloud Watch
Why work with us?
Excellent company culture, fun events, and volunteer opportunities
Competitive benefits (medical, dental, vision & more)
401k package with dollar-for-dollar match-up
Generous PTO and paid holidays days offered
Opportunities to grow professionally and personally
Team-oriented atmosphere
#LI-BJ1

Equal Opportunity Employer: This employer (hereafter the Company) is an equal opportunity employer and does not discriminate in recruitment, hiring, training, promotion, or other employment policies on the basis of age, race, sex, color, religion, national origin, disability, veteran status, genetic information, or any other basis that is prohibited by federal, state, or local law. No question in this application is intended to secure information to be used for such discrimination. In addition, the Company makes reasonable accommodation to the needs of disabled applicants and employees, so long as this does not create an undue hardship on the Company or threaten the health or safety of others at work. This application will be given every consideration, but its receipt does not imply that the applicant will be employed.
Show Less
Report",$96T - $1L (Glassdoor Est.),1001 to 5000 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
100,"Xiar tech inc
3.3",Senior Data Engineer,"Dallas, TX","· 5+ Years’ experience in Data Engineering
· 1 year experience with Nexla or similar data ingestion & engineering tools
· 4+ years’ experience in SQL/SnowSQL
· 2+ Years’ thorough experience in Python coding and packages
· 4+ years of overall Data Integration experience with 2+ experience in Data Engineering.
· 2+ years’ experience in large volume File processing with different types and formats
· Experience in Orchestration Tools - Airflow
· Understanding of dimensional and relational data modeling.
· Understanding of BI/DW development methodologies.
Job Types: Full-time, Contract
Salary: $42.96 - $60.84 per hour
Schedule:
8 hour shift
Day shift
Ability to commute/relocate:
Dallas, TX: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Show Less
Report",$42.96 - $60.84 Per hour(Employer Est.),1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
101,"Kreg Tool Company
3.6",Data Engineer / Senior Developer,"Ankeny, IA","Join us at Kreg Tool!

Kreg Tool is proud to be an employee-owned company that manufactures a wide variety of tools, accessories, and equipment for woodworkers and do-it-yourselfers. Guided by a unique purpose and values, we are driven to provide quality products to customers, are fully committed to employees, and are dedicated to the community. We aspire to give employees the tools they need to achieve personal growth and success throughout their career. Each employee is a valuable member of our team, all working together to co-create our futures by serving our customers, community, and one another.
Headquartered in a beautiful new campus in Ankeny, Iowa (just off I-35 north of Des Moines), Kreg creates products that are available throughout North America in the nation’s major home improvement stores, such as Lowe’s, Home Depot, and Menards. We recognize the importance of work-life integration and the health of our employees and acknowledge this through a flexible schedule and competitive benefits package. Beyond medical, vision, and dental benefits, Kreg also offers a “dress for your day” dress code, onsite fitness center, annual bonus opportunity, and volunteer time off, as well as paid parental leave, and tuition and wellness reimbursement.
Data Engineer / Senior Developer
The Data Engineer plays a key role in the execution of Kreg’s data and software engineering team. This person serves as a subject matter expert that can translate key objectives into solutions that drive continuous improvement within the organization. This role will collaborate both within the IT team and cross functionally. To be successful in this role, the right candidate needs to be agile and adaptable.
So, What’s the Gig?
Develop, deliver, and manage robust and high performing ETL/ELT flows and queries that support data movement in data warehouses and between enterprise systems.
Create, maintain, and optimize SQL/Python queries and functions that support data movement.
Coordinate activities with data source owners to capture data integration requirements, conceptualize solutions & build the required data-related technology stack. Ensures quality and accuracy.
Strategize with Company Leadership on the architecture and modernization of legacy integrations and ETL flows.
Assist team members in building, testing, and converting data to modern architecture.
Respond to user ad-hoc requests for data, advising and assisting with options for providing relevant information.
Collaborate with team members to translate best practice information and architecture mockups with user interface design.
Provide ongoing operational support to existing and newly developed processes and systems as necessary.
Support manufacturing and distribution center’s ERP, WMS, and related software systems.
Monitor various system integrations and resolve/maintain transactions as necessary.
Assist with project oversight from design through implementation including identifying, tracking, monitoring, and communicating project-related issues, scope changes, variances, and contingencies that occur during projects.
Write, read, and troubleshoot SQL queries, stored procedures, views, and functions.
Code specifications by converting logical sequence and workflow into program language.
Meet programming standards by following production, productivity, quality, and customer-service standards.
Provide root cause and resolution for persistent system issues.
Serves as the escalation point during incident resolution.
Work with third-party providers and customers to maintain and implement new product configurations/solutions.
What We’re Looking For:
Bachelor’s degree in engineering, Computer Science, Management Information Systems/Science required or similar combination of education and experience.
5+ years’ experience with Python, .NET, and Microsoft SQL
5+ years of data warehousing and analytics experience utilizing Databricks, AWS, Microsoft SQL Server, SQL Server Reporting Services (SSRS) strongly preferred.
5+ years of experience with dimensional data modeling & schema design in Data Warehouses
5+ years of data integration experience for ETL/ELT Solutions and APIs
Experience with a variety of web service technologies (REST, SOAP, XML, JSON).
Experience and understanding of database administration and standardized Data Warehousing Concepts.
Experience with XML, Business Intelligence Tools, Dashboards, analytical manipulation, and interpretation of large databases.
Experience with/knowledge of modern data tools and technologies such as Snowflake, AWS RedShift, AWS S3, Databricks, FiveTran, etc. a plus.
Other Skills and Abilities We’re Looking For:
Research and analytical problem-solving capabilities
Excellent verbal and written communication skills
Able to balances a reactive problem-solving approach with a proactive process improvement mindset
Commitment to Company values
Competencies:
Technical/Professional Knowledge
Customer Focus
Collaboration
Quality Orientation
Planning & Organizing
Decision Making
Continuous Learning
Adaptability
Managing Work
Show Less
Report",$83T - $1L (Glassdoor Est.),51 to 200 Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,1986,$25 to $50 million (USD)
102,"Alianza, Inc.
4.4",Data Engineer,"Pleasant Grove, UT","Data Engineer
Alianza is looking for an experienced and results driven Data Engineer. The successful candidate will be the technical engine of the data team, building Python applications to ingest streaming and extracted data and persist to cloud storage. Will use Python and SQL with AWS cloud technologies to automate the generation and delivery of reports. Will utilize CI/CD technologies to fully automate the release of all compute and storage components to the cloud. Work with our data architect and Java developers to design creative, high-quality, data-oriented insights and dashboards. Significant focus of the position will be on streaming data pipelines, distributed datalake architectures, and AWS services. Question the status quo. Write clean, testable, resilient code. Make things go fast and have fun doing it!
Key Duties and Responsibilities:
Participate in the process of designing, data engineering, and developing data services (Streaming, ETL/ELT, Real-time analytics, Reporting) using Python, SQL and AWS services
Adhere to modern methodologies for designing, coding, and testing
Build connected, fully automated data systems and pipeline
Work effectively with remote teams in various remote time zones
Prepare data for prescriptive and predictive modeling
Combine raw information from different sources into usable format
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it
Identify and implement automatable tasks and reusable frameworks
Participate in sprint planning meetings and provide reasonable estimations
Research and propose new process, techniques, or tools as solutions. Able to produce technical diagrams, explanations, and written documentation to promote proposed solutions
Collaborate with data team members to ensure all services are reliable, maintainable, and well-integrated into existing platforms
Review functional and technical designs to identify areas of risk and/or missing requirements

Qualifications:
3+ years of Python development experience, preferably writing modules that implement part of a streaming or batch ETL system in a cloud hosted environment
3+ years of SQL experience (No-SQL experience is a plus)
3+ years of experience with schema design and dimensional data modeling
Ability in managing and communicating data warehouse / lake designs to stakeholders
Experience designing, building, and maintaining data processing systems
At least 3 years’ experience with modern DevOps automation ecosystems, preferably Git/GitHub/Bitbucket, Buildkite or Ansible (or similar)
Real-world experience handling large data volumes (terabytes of storage and billions of rows)
At least 3 years experience configuring, using, and performance tuning AWS cloud services:preferably S3, Glue, Athena, Kinesis, Firehose, Lambda, Cloudwatch, ECS, API Gateway, RDS (Postgres), SQS, SNS, SES
Experience using AWS Redshift (or similar)
Experience with CloudFormation or TerraForm
Ability to prioritize, learn quickly, and do high-quality work
Demonstrate understanding of modern APIs and endpoints, like REST and GraphQL
Working understanding of Agile dev methodologies, especially Scrum and Kanban
Good listener, communicator, collaborator, and documenter
Proficient with Linux and shell scripting
Experience with data warehouse, data mart, OLAP, dimensional modeling, Kimball method
Good understanding of relational and document database concepts and best practices
Know how to design a clean, performance-optimized relational data model, and reverse engineer existing databases into physical data model diagrams
Experience using C*, Spark, Kafka, KSQL, Confluent, Pulsar and/or Kinesis helpful
Automated testing experience using JUNIT or equivalent
Some experience in software engineering (front, middle, back or all three) and application architecture
Show Less
Report",$73T - $1L (Glassdoor Est.),201 to 500 Employees,Company - Private,Information Technology,Software Development,2009,$25 to $50 million (USD)
103,"Mashvisor Inc.
3.7",Data Science Engineer,Remote,"Build the solution that transforms the real estate industry!
We are looking for a Data Science Engineer superhero with a sixth sense for data who can ignite our day-to-day activities with their creativity.
Want to infuse a $30B+ sector of the insurance and real estate industry with predictive analytics and a tech-forward customer experience? Looking for a fully remote startup culture supported by a profitable business model? Join Mashvisor and help us build an entirely new type of real estate model.

Our Values

Customer Obsessed – We always put our customers first.
Solution Driven – We solve problems that other people are afraid to.
Product led: We are always one step ahead of our customer's needs and create / add features they love every time
One Team – We believe inclusion and teamwork produce the best results.
Open and Direct – We communicate with honesty and respect to our colleagues, customers, and partners.

What You’ll Do
Designing, developing, and researching Machine Learning systems, models, and schemes
Studying, transforming, and converting data science prototypes
Searching and selecting appropriate data sets
Performing statistical analysis and using results to improve models
Training and retraining ML systems and models as needed
Identifying differences in data distribution that could affect model performance in real-world situations
Visualizing data for deeper insights
Analyzing the use cases of ML algorithms and ranking them by their success probability
Understanding when your findings can be applied to business decisions
Enriching existing ML frameworks and libraries
Verifying data quality and/or ensuring it via data cleaning

What You’ll Need
BS or Masters degree in Mathematics, Statistics, Economics, Data Science or another quantitative field
3+ years of hands-on experience utilizing data science to manage, enhance and develop models and deploy solutions to solve complex business problems
Expertise in SQL and programming in SQL, R, Python, C++, Java, and beneficial to know Lisp and Prolog
Strong organizational, interpersonal, and communication skills (both written and verbal)
A bias towards solving problems from a customer-centric lens and an intuitive sense for how the work aligns closely with business objectives
Solid experience with managing databases and datasets and structuring and optimizing the framework
A thorough understanding of SQL databases
Bonus: background in US real estate data, insurance or financial markets analysis
The ideal candidate will be a creative problem solver with an excellent work history on data analytics projects.

We want the work you do here to be the best work of your life.
Compensation: We offer a great salary with a yearly bonus based on performance.
Attitude: Work with a Can-Do team across the world.
Freedom: Work anywhere, anytime.
Time Off: Yearly vacations and sick leaves.
Responsibility: Ability to excel in a fully remote work environment.
Are you the one?
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,2015,Unknown / Non-Applicable
104,"etrailer.com
4.0",Data Engineer/Data Scientist,Remote,"Mid-to-Senior Level Data Engineer/Data Scientist
Salary:100,000-180,000 yearly

Get to know etrailer.com
etrailer.com is an industry leader in helping people lead fulfilling lives by empowering them to complete work, go on vacations, and experience the outdoors. We achieve this through unmatched industry expertise, putting the customer first, and expert service. We want to supercharge our customer interactions to provide individualized, incredible customer experiences.

We are looking for...
etrailer.com is looking for experienced Data Engineers/Data Scientists that will be key players in propelling the company beyond its current capabilities. Preferred candidates will be able to suggest and implement solutions with new toolsets, methodologies, and industry standards to help improve the etrailer data ecosystem.

Required Qualifications
Bachelor's degree in Computer Science, Electrical/Computer Engineering, Statistics, Mathematics, or other related fields with 5 years of experience OR Master's degree in Data Science or Data Engineering with 3 years of experience
Strong Python experience
SQL experience
Nice to Have Qualifications
Azure experience
Splunk experience
C# experience
Experienced in designing, implementing, and maintaining data capture and data processing solutions. Some example technologies include:
Kafka
SQL
Splunk
Python
C#
Experienced in designing, implementing, and maintaining monitoring, alerting, and visualization solutions. Some example technologies include:
Splunk
Power BI
Tableau
Experienced in designing, implementing, and maintaining machine learning solutions through the entire model life cycle. Some example technologies include:
Python
Azure cloud
Data bricks
ML Flow
Show Less
Report",$1L - $2L (Employer Est.),501 to 1000 Employees,Company - Private,Retail & Wholesale,Automotive Parts & Accessories Stores,1946,$100 to $500 million (USD)
105,"Jacobs Levy Equity Management
4.5",Quantitative Data Engineer,"Florham Park, NJ","This position is part of our Data Technology team and will help implement, enhance, and manage our quantitative models. Primary responsibilities include researching, designing, coding, testing, and deploying projects while working in a fast-paced environment and improving proprietary data repository and financial data platforms. The Quantitative Data Engineer will work closely with quantitative research and portfolio management professionals to implement new ideas. The successful candidate must possess strong knowledge of financial equity data (e.g., Compustat, Bloomberg, Thomson Reuters), have solid coding skills (in SQL, Python, Julia, and C++), and experience working with large datasets. MS/PhD degree in Computer Science or related field required.


We are seeking a Quantitative Data Engineer to design and implement our proprietary quantitative investment systems. You will be a key player in the Technology team and will research, design, code, test and deploy projects while working in a fast-paced environment.

Responsibilities include:
Implement, enhance, and manage quantitative models
Design and improve proprietary data repository and financial data platforms
Automate and support the Extract, Transform, and Load (ETL) processes from various market data vendors
Develop and manage reporting and performance analytics platforms



Requirements include:
MS/PhD in Computer Science, Engineering, Statistics, or related discipline with excellent academic credentials
Strong knowledge of financial equity data, a plus with experience in Bloomberg, Thomson Reuters, Compustat, and CapIQ data
Broad knowledge of database concepts with proficiency in SQL and stored procedures, preferably with Microsoft SQL Server
2+ years of solid coding experience in Python, Julia, C++, C#
Experience in processing large and complex datasets
An advanced knowledge of math and statistics

For immediate and confidential consideration, please email your cover letter and resume to careers@jlem.com. Please indicate the position for which you are applying.
Equal Opportunity Employer
Show Less
Report",#N/A,1 to 50 Employees,Company - Private,Finance,Investment & Asset Management,#N/A,$5 to $25 million (USD)
106,"Umanist Staffing
5.0",Senior Data Engineer,"Bethesda, MD","Job Tittle - Senior Data Engineer
Work Type - Remote
Location - Bethesda, MD, US
Job Type - Full Time
Mandatory Skills –
Expertise in real-time data solutions, good to have knowledge of streams processing, Message Oriented Platforms and ETL/ELT Tools.
Strong scripting experience using Python
Working knowledge of foundational AWS compute, storage, networking and IAM.
AWS scripting experience using lambda functions and knowledge of CloudFormation is nice to have.
Hands on experience with popular cloud-based data warehouse platforms, viz. Redshift, Snowflake.
Experience with one or more data integration tools viz. Antiunity (Qlik), AWS Glue ETL, Talend, Kafka etc.
Strong understanding of data security – authorization, authentication, encryption, and network security.
Experience in building data pipelines with related understanding of data ingestion, transformation of structured, semi-structured and unstructured data across cloud services
Demonstrated ability to be self-directed with excellent organization, analytical and interpersonal skills, and consistently meet or exceed deadline deliverables.
Demonstrated experience in data management with a strong understanding of process re/design.
Strong communication skills to facilitate meetings and workshops to collect data, functional and technology requirements, document processes, data flows, gap analysis, and associated data to support data management/governance related efforts.
Job Description –
Demonstrate expert ability in implementing Data Warehouse solutions using Snowflake.
Building data integration solutions between transaction systems and analytics platform.
Expand data integration solutions to ingest data from internal and external sources and to further transform as per the business consumption needs
Create security policies in Snowflake to manage fine grained access control
Develop tasks for a multitude of data patterns, e.g., real-time data integration, Advanced Analytics, Machine Learning, BI and Reporting.
Lead POC efforts to build foundational AI/ML services for Predictive Analytics.
Building of data products by data enrichment and ML.
Be a team player and share knowledge with the existing team members.
Job Type: Full-time
Salary: $100,000.00 - $140,000.00 per year
Benefits:
Health insurance
Life insurance
Compensation package:
Yearly pay
Experience level:
5 years
Schedule:
8 hour shift
Application Question(s):
Are you comfortable on W2?
Experience:
Informatica: 1 year (Required)
SQL: 1 year (Required)
Data warehouse: 1 year (Required)
Work Location: Remote
Speak with the employer
+91 8707036327
Show Less
Report",$1L - $1L (Employer Est.),1 to 50 Employees,Company - Private,Human Resources & Staffing,"Staffing, Recruitment & Subcontracting",2022,Unknown / Non-Applicable
107,"Innova Solutions Inc.
3.9",Data Engineer/Data Analyst,"Richmond, VA","Position Summary
The person will have a mix of highly technical data quality controls development, data analysis and reporting responsibilities to include writing complex SQL queries, some python code analysis, extensive data analysis, building DQ controls metrics reports, defining tech data controls strategy, working with metadata, architecture and development teams on the resolution to DQ controls issues
Primary Skill
MySQL
Secondary Skill
Tertiary Skill
Required Skills
SQL and DQ Controls Experience
DQ Controls Development and Strategy Skills
Business Analyst
Data Architecture
Desired Skills
Python, metadata, business intelligence reporting, BA
Job Type: Contract
Pay: $60.00 - $65.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Ability to commute/relocate:
Richmond, VA 23173: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 3 years (Required)
MySQL: 5 years (Required)
Data Quality: 5 years (Required)
Work Location: Hybrid remote in Richmond, VA 23173
Show Less
Report",$60.00 - $65.00 Per hour(Employer Est.),10000+ Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,1998,$2 to $5 billion (USD)
108,"Gopuff
3.0",Principal Data Engineer,"Independence, KS","Gopuff is seeking a Principal Data Engineer to join its Data Engineering team. This individual will play a major role in shaping the team’s technical direction, designing and implementing the data architecture to enable analytics, data science, and machine learning at scale. The ideal candidate will also serve as a mentor to other data engineers, investing in the team’s development together. This position is a hands-on engineering role, with the core focus being on developing and deploying production-grade code.

#LI-Remote
Responsibilities
Takes a hands-on role at piloting and developing tools in addition to enhancing existing platforms that power Gopuff’s data teams
Architect and implement large-scale data processing systems that enable analytics, data science, and machine learning in a multi-cloud environment
Develop best practices for data collection, storage, and processing that impact company-wide data strategy across Gopuff’s data lakes and data warehouses
Partner with software and analytics engineering teams to establish data contracts to improve data quality at every stage of the data lifecycle
Participate in design and architectural review sessions with data engineers and software engineering partners
Conduct code reviews and knowledge-sharing sessions across data engineering and partner teams
Collaborate with engineering and product leadership to translate business requirements into technical solutions
Partner with engineering teams to model foundational event schemas
Qualifications
8+ years of experience in a data engineering role building end-to-end ETL/ELT pipelines
Experience building batch data pipelines using DAG-based tools such as Dagster or Airflow
Experience developing real-time data pipelines using frameworks such as Apache Beam, Flink, Storm, Spark Streaming, etc.
Experience with data warehouses, data lakes, and their underlying infrastructure
Proficiency in Python, SQL, RESTful API development
Experience with cloud computing platforms such as Azure, AWS
Experience data observability and monitoring tooling such as Monte Carlo, Great Expectations, SodaSQL, Databand, etc.
Experience in producing and consuming topics to/from Apache Kafka, AWS Kinesis, or Azure Event Hubs
Experience with data governance, schema design, and schema evolution
Experience implementing DevOps best practices within the data platform, including solutions for CI/CD, data observability, monitoring, and lineage
Experience with Infrastructure as code tools such as Terraform
Compensation:
Gopuff pays employees based on market pricing and pay may vary depending on your location. The salary range below reflects what we’d reasonably expect to pay candidates. A candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future. For additional information on this role’s compensation package, please reach out to the designated recruiter for this role.
Remote - Salary Range (varies based on a cost of labor index for geographic area within United States): USD $152,000 - USD $241,500
Benefits
We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits, supplemental employee, spouse and child life insurance to all eligible employees.*

We also offer*:
Gopuff employee discount
Career growth opportunities
Internal rewards programs
Annual performance appraisal and bonus
Equity program
Not applicable for contractors or temporary employees.

At Gopuff, we know that life can be unpredictable. Sometimes you forget the milk at the store, run out of pet food for Fido, or just really need ice cream at 11 pm. We get it—stuff happens. But that’s where we come in, delivering all your wants and needs in just minutes.

And now, we’re assembling a team of motivated people to help us drive forward that vision to bring a new age of convenience and predictability to an unpredictable world.

Like what you’re hearing? Then join us on Team Blue.

Gopuff is an equal employment opportunity employer, committed to an inclusive workplace where we do not discriminate on the basis of race, sex, gender, national origin, religion, sexual orientation, gender identity, marital or familial status, age, ancestry, disability, genetic information, or any other characteristic protected by applicable laws. We believe in diversity and encourage any qualified individual to apply.
Show Less
Report",$1L - $2L (Glassdoor Est.),5001 to 10000 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2013,Unknown / Non-Applicable
109,"ApolloMed
4.6",Data Engineer III,Remote,"Job Title: Data Engineer III
Department: Data
About the Role:
We are currently seeking a highly motivated Data Engineer III. This role will report to the Analytics Manager and work closely with data analysts and clinical leaders to produce deliverables for internal and external clients. With over a million managed lives across the country and terabytes of data generated, our teams need to be continuously equipped with the tools and insights to drive strategy and innovation to further our core values of improving patient outcomes and empowering our providers.
What You'll Do:
Design and develop a data reporting environment across organizational data systems
Identify and promote best practices and patterns for data modeling and provide oversight for activities to report migration and data consolidation
Design, code, manage data & analytics product backlog
Identify technical solutions that achieve efficiency and effectiveness and enable data usage as a strategic business asset
Review team members’ codes for quality and correctness
Collaborate with data analysts and other team members to architect data products and services
Integrate the data platform with analytical tools such as Tableau and PowerBI
Analyze and document processes to create a large shared knowledge base
Minimum qualifications:
Bachelor's degree required in healthcare, analytics, statistics, finance, business, or related field; Master’s degree (MBA, MPH) preferred
Experience with SQL Server or similar relational databases.
Strong understanding of database structures, theories, principles, and practices
Working knowledge with programming or scripting languages such as Python, Spark, and SQL
Experience with data profiling.
Familiarity with normalized, dimensional, star schema and snow flake schematic models
Familiarity with business intelligence exploratory or visualization tools (e.g., Tableau, PowerBI.)
Knowledge of professional software engineering practices and best practices for the full software development life cycle (SDLC), including documentation, coding standards, code reviews, source control management, build processes, testing, and operations.
Strong written and oral communication skills.
Experience with Excel.
You're a great for this role if:
5+ years’ experience developing data pipelines or ETLs
3+ years' experience working with SQL Server Integration Services
3+ years’ experience in managed care or other healthcare data field preferred
Who We Are:
ApolloMed (NASDAQ: AMEH) is a physician-centric, technology-powered healthcare management company. We are building and operating a novel, integrated, value-based healthcare delivery platform to empower our physicians to provide the highest quality of end-to-end care for their patients in a cost-effective manner. Our mission is to combine our clinical experience, best-in-class delivery network, and technological expertise in order to improve patient outcomes, increase access to healthcare, and make the US healthcare system more efficient.
Our platform currently empowers over 10,000 physicians to provide care for over 1.2 million patients nationwide. Our rapid growth and unique position at the intersection of all major healthcare stakeholders (payer, provider, and patient) gives us an unparalleled opportunity to combine clinical and technological expertise in order to improve patient outcomes, increase access to quality healthcare, and reduce the waste in the US healthcare system.
Our Values:
Patients First
Empowering the Independent Provider
Be Innovative
Operate with Integrity & Deliver Excellence
Team of One
Environmental Job Requirements and Working Conditions:
This position is based remotely in the U.S.
The target pay range for this role is: $80,000 - $160,000. The salary range represents our national target range for this role


ApolloMed is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. All employment is decided on the basis of qualifications, merit, and business need. If you require assistance in applying for open positions due to a disability, please email us at humanresourcesdept@networkmedicalmanagement.com to request an accommodation.
Additional Information:
The job description does not constitute an employment agreement between the employer and employee and is subject to change by the employer as the needs of the employer and requirements of the job change.
Show Less
Report",$80T - $2L (Employer Est.),501 to 1000 Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1994,$500 million to $1 billion (USD)
